20240819_f1_angle,20240819_f2_angle,20240819_f3_angle,20240819_f4_angle,20240819_f5_angle,20240819_f6_angle,20240819_f7_angle,20240819_f8_angle,20240819_f9_angle,20240819_f10_angle,20240819_f11_angle,20240819_f12_angle,20240819_f13_angle,20240819_f14_angle,20240819_f15_angle,20240819_f16_angle,20240819_f17_angle,20240819_f18_angle,20240819_f19_angle,20240819_f20_angle,angle_average,angle_upper,angle_lower,Time [s]
-32,-32,-33,-33,-32,-32,-33,-32,-33,-32,-33,-32,-32,-33,-33,-32,-32,-32,-32,-33,-32.4,-32,-33,0.01
-32,-32,-33,-33,-32,-32,-33,-32,-33,-32,-33,-32,-32,-33,-33,-32,-32,-32,-32,-33,-32.4,-32,-33,0.02
-32,-32,-33,-33,-32,-32,-33,-32,-33,-32,-33,-32,-32,-33,-33,-32,-32,-32,-32,-33,-32.4,-32,-33,0.03
-32,-33,-33,-33,-33,-32,-33,-32,-33,-32,-33,-32,-32,-33,-33,-32,-32,-32,-32,-33,-32.5,-32,-33,0.04
-32,-33,-33,-33,-33,-32,-33,-32,-33,-32,-33,-32,-32,-33,-33,-32,-32,-33,-32,-33,-32.55,-32,-33,0.05
-32,-33,-33,-33,-33,-32,-33,-32,-33,-32,-33,-32,-32,-33,-33,-32,-32,-33,-32,-33,-32.55,-32,-33,0.06
-32,-33,-33,-33,-33,-32,-33,-32,-33,-32,-33,-32,-32,-33,-33,-32,-32,-33,-33,-33,-32.6,-32,-33,0.07
-32,-33,-33,-33,-33,-32,-33,-32,-33,-32,-33,-32,-32,-33,-33,-32,-32,-33,-33,-33,-32.6,-32,-33,0.08
-33,-33,-33,-32,-33,-32,-33,-32,-33,-32,-33,-32,-32,-33,-33,-32,-32,-33,-33,-33,-32.6,-32,-33,0.09
-32,-33,-33,-32,-33,-32,-32,-32,-33,-32,-32,-32,-32,-33,-33,-32,-32,-33,-33,-33,-32.45,-32,-33,0.1
-32,-33,-33,-32,-33,-32,-32,-32,-33,-32,-32,-32,-32,-32,-33,-32,-32,-33,-33,-33,-32.4,-32,-33,0.11
-32,-33,-32,-32,-33,-32,-32,-32,-33,-32,-32,-32,-32,-32,-33,-32,-32,-33,-32,-33,-32.3,-32,-33,0.12
-32,-33,-33,-32,-33,-32,-32,-32,-32,-32,-32,-32,-32,-32,-33,-32,-32,-33,-32,-33,-32.3,-32,-33,0.13
-32,-33,-33,-32,-33,-32,-33,-32,-32,-32,-32,-31,-32,-32,-33,-32,-32,-33,-32,-33,-32.3,-31,-33,0.14
-32,-33,-33,-32,-33,-32,-33,-32,-32,-32,-32,-31,-32,-32,-33,-32,-32,-33,-32,-33,-32.3,-31,-33,0.15
-32,-33,-33,-32,-33,-32,-32,-32,-32,-32,-32,-31,-32,-31,-33,-32,-32,-33,-32,-33,-32.2,-31,-33,0.16
-32,-33,-33,-32,-34,-32,-32,-32,-32,-32,-32,-31,-32,-31,-33,-32,-32,-33,-32,-32,-32.2,-31,-34,0.17
-33,-33,-33,-33,-34,-32,-32,-32,-32,-32,-32,-31,-33,-31,-33,-32,-32,-33,-32,-32,-32.35,-31,-34,0.18
-34,-33,-33,-33,-35,-33,-33,-32,-33,-32,-33,-31,-33,-32,-33,-32,-32,-34,-32,-32,-32.75,-31,-35,0.19
-36,-37,-35,-35,-38,-35,-35,-35,-35,-33,-37,-35,-34,-35,-36,-35,-35,-34,-34,-36,-35.25,-33,-38,0.2
-39,-41,-39,-38,-42,-39,-38,-39,-38,-36,-40,-39,-37,-39,-39,-38,-38,-37,-38,-40,-38.7,-36,-42,0.21
-43,-44,-42,-42,-45,-42,-41,-43,-42,-40,-43,-42,-41,-42,-43,-42,-42,-40,-42,-43,-42.2,-40,-45,0.22
-47,-47,-45,-44,-48,-45,-45,-46,-46,-43,-46,-44,-44,-44,-47,-46,-45,-43,-45,-46,-45.3,-43,-48,0.23
-50,-51,-48,-47,-50,-48,-48,-48,-49,-46,-49,-47,-46,-47,-51,-48,-49,-46,-49,-49,-48.3,-46,-51,0.24
-52,-53,-50,-50,-52,-51,-51,-50,-51,-49,-52,-50,-49,-50,-53,-51,-51,-49,-51,-51,-50.8,-49,-53,0.25
-54,-54,-52,-51,-52,-52,-52,-51,-52,-51,-52,-50,-50,-51,-54,-51,-52,-51,-53,-52,-51.85,-50,-54,0.26
-53,-54,-51,-51,-52,-51,-52,-50,-51,-51,-52,-50,-51,-50,-53,-51,-52,-52,-52,-51,-51.5,-50,-54,0.27
-52,-52,-50,-51,-51,-50,-51,-49,-49,-50,-50,-48,-51,-49,-51,-49,-51,-51,-49,-49,-50.15,-48,-52,0.28
-50,-51,-49,-49,-49,-50,-49,-47,-47,-48,-47,-46,-49,-48,-48,-47,-49,-50,-48,-47,-48.4,-46,-51,0.29
-48,-49,-47,-48,-47,-48,-48,-45,-46,-46,-45,-44,-47,-46,-47,-45,-47,-48,-46,-45,-46.6,-44,-49,0.3
-46,-48,-45,-46,-46,-46,-45,-43,-44,-45,-44,-42,-46,-44,-44,-43,-45,-46,-45,-43,-44.8,-42,-48,0.31
-45,-46,-44,-44,-44,-45,-44,-41,-42,-43,-42,-40,-44,-42,-43,-42,-43,-44,-43,-42,-43.15,-40,-46,0.32
-43,-45,-42,-43,-43,-43,-42,-39,-40,-41,-40,-39,-42,-41,-41,-40,-41,-43,-41,-40,-41.45,-39,-45,0.33
-42,-44,-41,-41,-42,-42,-41,-38,-39,-39,-39,-37,-40,-39,-40,-38,-39,-41,-40,-39,-40.05,-37,-44,0.34
-41,-42,-39,-40,-40,-41,-40,-37,-37,-38,-37,-36,-39,-38,-39,-37,-38,-40,-38,-37,-38.7,-36,-42,0.35
-40,-41,-38,-39,-39,-40,-38,-36,-36,-37,-36,-34,-37,-36,-37,-36,-37,-38,-37,-36,-37.4,-34,-41,0.36
-39,-40,-37,-38,-38,-39,-38,-35,-35,-36,-35,-33,-36,-35,-36,-35,-35,-37,-36,-35,-36.4,-33,-40,0.37
-38,-39,-36,-37,-38,-38,-37,-34,-34,-35,-34,-32,-35,-35,-35,-34,-34,-36,-34,-34,-35.45,-32,-39,0.38
-37,-39,-35,-36,-37,-37,-36,-33,-33,-34,-33,-32,-34,-34,-35,-33,-33,-35,-34,-33,-34.65,-32,-39,0.39
-37,-38,-35,-36,-36,-37,-35,-32,-32,-33,-33,-31,-33,-33,-34,-33,-33,-34,-33,-33,-34.05,-31,-38,0.4
-36,-38,-34,-35,-36,-36,-35,-32,-31,-33,-32,-30,-33,-32,-33,-32,-32,-34,-32,-32,-33.4,-30,-38,0.41
-36,-37,-34,-35,-35,-36,-34,-31,-31,-32,-32,-30,-32,-32,-33,-32,-31,-33,-31,-32,-32.95,-30,-37,0.42
-36,-37,-33,-34,-35,-35,-34,-31,-30,-32,-31,-29,-31,-31,-32,-31,-30,-33,-31,-31,-32.35,-29,-37,0.43
-36,-36,-33,-34,-35,-35,-33,-30,-30,-32,-31,-29,-31,-31,-32,-31,-30,-32,-30,-31,-32.1,-29,-36,0.44
-35,-36,-33,-34,-34,-35,-33,-30,-29,-31,-31,-28,-30,-31,-31,-30,-29,-32,-30,-31,-31.65,-28,-36,0.45
-35,-36,-33,-34,-34,-35,-33,-30,-29,-31,-30,-28,-30,-30,-31,-30,-29,-32,-30,-31,-31.55,-28,-36,0.46
-35,-36,-33,-34,-34,-35,-33,-30,-29,-31,-31,-28,-30,-30,-31,-30,-29,-32,-30,-31,-31.6,-28,-36,0.47
-35,-36,-32,-34,-34,-35,-33,-30,-29,-31,-31,-28,-30,-31,-31,-30,-29,-32,-30,-31,-31.6,-28,-36,0.48
-36,-36,-33,-34,-34,-35,-33,-30,-29,-31,-31,-28,-30,-31,-31,-30,-29,-32,-30,-31,-31.7,-28,-36,0.49
-36,-36,-33,-34,-35,-35,-33,-30,-29,-32,-31,-29,-30,-31,-31,-31,-29,-32,-30,-31,-31.9,-29,-36,0.5
-36,-37,-33,-34,-35,-35,-34,-31,-29,-32,-31,-29,-31,-31,-31,-31,-29,-32,-30,-32,-32.15,-29,-37,0.51
-36,-37,-34,-35,-35,-35,-34,-31,-30,-32,-32,-29,-31,-32,-32,-31,-30,-32,-30,-32,-32.5,-29,-37,0.52
-37,-38,-34,-35,-36,-36,-35,-32,-30,-33,-32,-30,-32,-33,-32,-32,-30,-33,-31,-32,-33.15,-30,-38,0.53
-37,-38,-35,-36,-36,-36,-35,-32,-31,-33,-33,-31,-32,-33,-33,-32,-31,-34,-31,-33,-33.6,-31,-38,0.54
-38,-39,-35,-36,-37,-37,-36,-33,-32,-34,-34,-31,-33,-34,-33,-33,-32,-34,-32,-34,-34.35,-31,-39,0.55
-38,-39,-36,-37,-38,-38,-37,-34,-32,-35,-34,-32,-34,-35,-34,-34,-32,-35,-33,-35,-35.1,-32,-39,0.56
-39,-40,-37,-38,-38,-39,-37,-34,-33,-36,-35,-33,-35,-36,-35,-35,-33,-36,-34,-35,-35.9,-33,-40,0.57
-40,-41,-38,-39,-39,-39,-38,-35,-34,-37,-36,-34,-36,-37,-36,-35,-34,-37,-35,-36,-36.8,-34,-41,0.58
-41,-42,-39,-39,-40,-40,-39,-36,-35,-38,-37,-35,-37,-38,-37,-36,-36,-38,-36,-37,-37.8,-35,-42,0.59
-42,-43,-40,-40,-41,-41,-40,-37,-37,-39,-39,-37,-38,-40,-38,-38,-37,-39,-37,-39,-39.1,-37,-43,0.6
-43,-44,-41,-42,-43,-43,-41,-38,-38,-40,-40,-38,-40,-41,-39,-39,-38,-40,-38,-40,-40.3,-38,-44,0.61
-44,-45,-42,-43,-44,-44,-42,-40,-40,-41,-41,-40,-41,-43,-41,-40,-39,-41,-40,-41,-41.6,-39,-45,0.62
-45,-46,-43,-44,-45,-45,-43,-41,-41,-43,-43,-41,-43,-44,-42,-42,-41,-43,-41,-43,-42.95,-41,-46,0.63
-46,-47,-45,-45,-47,-47,-45,-42,-43,-44,-44,-43,-44,-46,-44,-43,-43,-44,-43,-44,-44.45,-42,-47,0.64
-48,-49,-46,-47,-48,-48,-46,-44,-45,-46,-46,-45,-46,-48,-46,-45,-45,-46,-45,-46,-46.25,-44,-49,0.65
-49,-50,-48,-48,-50,-49,-48,-46,-47,-48,-48,-47,-48,-49,-48,-47,-47,-48,-46,-48,-47.95,-46,-50,0.66
-51,-52,-49,-49,-51,-51,-50,-47,-49,-49,-49,-49,-50,-51,-50,-48,-49,-49,-48,-50,-49.55,-47,-52,0.67
-52,-53,-51,-51,-53,-52,-51,-49,-51,-51,-51,-51,-52,-52,-52,-50,-51,-51,-50,-52,-51.3,-49,-53,0.68
-53,-55,-52,-52,-54,-54,-53,-51,-53,-52,-53,-52,-54,-53,-54,-52,-53,-52,-52,-54,-52.9,-51,-55,0.69
-55,-56,-53,-52,-55,-55,-54,-53,-54,-53,-55,-54,-55,-54,-56,-54,-55,-54,-54,-55,-54.3,-52,-56,0.7
-55,-56,-54,-53,-56,-55,-55,-55,-54,-54,-55,-55,-56,-54,-57,-56,-56,-55,-55,-56,-55.1,-53,-57,0.71
-55,-56,-54,-53,-55,-55,-56,-56,-54,-54,-56,-55,-56,-53,-58,-57,-57,-55,-55,-57,-55.35,-53,-58,0.72
-55,-56,-53,-52,-55,-54,-55,-56,-53,-53,-55,-54,-55,-52,-58,-57,-57,-55,-55,-56,-54.8,-52,-58,0.73
-54,-55,-52,-51,-53,-53,-54,-55,-52,-52,-54,-53,-54,-50,-57,-56,-56,-54,-54,-55,-53.7,-50,-57,0.74
-53,-53,-51,-50,-52,-52,-53,-54,-50,-51,-53,-51,-52,-49,-55,-55,-55,-53,-53,-54,-52.45,-49,-55,0.75
-51,-52,-50,-49,-50,-50,-51,-52,-48,-49,-51,-49,-50,-47,-53,-53,-53,-51,-51,-52,-50.6,-47,-53,0.76
-49,-50,-48,-47,-49,-49,-49,-50,-46,-48,-49,-47,-49,-45,-51,-51,-51,-49,-49,-50,-48.8,-45,-51,0.77
-47,-49,-46,-46,-47,-47,-47,-48,-45,-46,-47,-45,-47,-44,-49,-49,-48,-48,-47,-48,-47.0,-44,-49,0.78
-46,-47,-45,-44,-45,-46,-45,-46,-43,-44,-45,-44,-45,-42,-47,-47,-47,-46,-45,-46,-45.25,-42,-47,0.79
-44,-46,-43,-43,-44,-44,-44,-44,-42,-43,-43,-42,-43,-41,-45,-45,-45,-44,-44,-44,-43.65,-41,-46,0.8
-43,-44,-42,-42,-43,-43,-42,-42,-40,-41,-42,-40,-42,-40,-44,-43,-43,-43,-42,-43,-42.2,-40,-44,0.81
-41,-43,-41,-41,-41,-42,-41,-40,-39,-40,-40,-39,-40,-39,-42,-42,-41,-42,-41,-41,-40.8,-39,-43,0.82
-40,-42,-39,-40,-41,-41,-40,-39,-38,-39,-39,-38,-39,-38,-41,-40,-40,-40,-39,-40,-39.65,-38,-42,0.83
-39,-41,-39,-39,-40,-40,-39,-38,-37,-38,-38,-37,-38,-37,-39,-39,-39,-39,-38,-39,-38.65,-37,-41,0.84
-38,-40,-38,-39,-39,-40,-38,-37,-37,-38,-37,-36,-38,-37,-38,-38,-38,-38,-38,-38,-38.0,-36,-40,0.85
-38,-40,-37,-38,-39,-39,-37,-36,-36,-37,-37,-35,-37,-36,-38,-37,-37,-38,-37,-37,-37.3,-35,-40,0.86
-37,-40,-37,-38,-38,-39,-37,-35,-36,-37,-36,-35,-37,-36,-37,-36,-36,-37,-36,-37,-36.85,-35,-40,0.87
-37,-40,-37,-38,-38,-39,-37,-35,-36,-37,-36,-35,-36,-36,-37,-36,-36,-37,-36,-37,-36.8,-35,-40,0.88
-37,-40,-37,-38,-39,-39,-37,-35,-36,-37,-36,-35,-36,-36,-37,-36,-36,-37,-36,-37,-36.85,-35,-40,0.89
-38,-40,-37,-38,-39,-39,-37,-35,-36,-37,-36,-35,-36,-37,-37,-36,-36,-37,-36,-37,-36.95,-35,-40,0.9
-38,-40,-38,-39,-39,-39,-37,-35,-37,-37,-36,-35,-37,-37,-37,-36,-36,-37,-37,-37,-37.2,-35,-40,0.91
-38,-40,-38,-39,-40,-40,-37,-35,-37,-38,-37,-36,-37,-37,-37,-36,-37,-38,-37,-37,-37.55,-35,-40,0.92
-39,-41,-38,-39,-40,-40,-38,-36,-38,-38,-38,-36,-38,-38,-38,-36,-37,-38,-37,-38,-38.05,-36,-41,0.93
-39,-41,-39,-40,-41,-41,-39,-36,-38,-39,-38,-37,-38,-39,-38,-37,-38,-39,-38,-38,-38.65,-36,-41,0.94
-40,-42,-39,-40,-41,-41,-39,-37,-39,-39,-39,-38,-39,-39,-39,-38,-39,-39,-39,-39,-39.25,-37,-42,0.95
-41,-42,-40,-40,-42,-41,-40,-38,-40,-40,-40,-38,-40,-40,-40,-39,-39,-40,-40,-40,-40.0,-38,-42,0.96
-41,-43,-40,-40,-42,-42,-40,-39,-40,-40,-40,-39,-40,-40,-41,-40,-40,-40,-40,-41,-40.4,-39,-43,0.97
-41,-43,-41,-41,-42,-42,-41,-40,-41,-41,-41,-40,-41,-41,-42,-40,-41,-41,-41,-41,-41.1,-40,-43,0.98
-42,-43,-41,-41,-43,-42,-41,-40,-41,-41,-41,-40,-42,-41,-43,-41,-42,-41,-41,-42,-41.45,-40,-43,0.99
-42,-43,-41,-41,-43,-42,-42,-41,-42,-41,-42,-41,-42,-41,-43,-42,-43,-41,-42,-42,-41.85,-41,-43,1.0
-42,-43,-41,-41,-43,-42,-42,-42,-42,-41,-42,-41,-42,-41,-44,-42,-43,-41,-42,-42,-41.95,-41,-44,1.01
-41,-43,-41,-41,-43,-42,-42,-42,-42,-41,-41,-41,-42,-41,-44,-42,-43,-41,-42,-42,-41.85,-41,-44,1.02
-41,-43,-41,-41,-43,-42,-42,-42,-42,-41,-41,-41,-42,-41,-44,-42,-43,-41,-42,-42,-41.85,-41,-44,1.03
-41,-43,-41,-41,-43,-42,-42,-42,-42,-41,-41,-41,-42,-41,-44,-42,-43,-41,-42,-42,-41.85,-41,-44,1.04
-41,-43,-41,-41,-43,-42,-42,-42,-42,-41,-41,-41,-42,-41,-44,-42,-43,-41,-42,-42,-41.85,-41,-44,1.05
-41,-43,-41,-41,-43,-42,-41,-42,-41,-41,-41,-40,-42,-40,-44,-42,-43,-41,-42,-42,-41.65,-40,-44,1.06
-42,-43,-41,-41,-43,-42,-41,-42,-41,-41,-41,-40,-42,-40,-44,-42,-43,-41,-41,-42,-41.65,-40,-44,1.07
-41,-43,-41,-41,-43,-42,-42,-41,-41,-41,-41,-40,-42,-40,-43,-42,-42,-41,-41,-42,-41.5,-40,-43,1.08
-42,-43,-41,-41,-42,-42,-41,-41,-41,-41,-41,-40,-42,-41,-43,-42,-42,-41,-41,-42,-41.5,-40,-43,1.09
-42,-43,-41,-41,-43,-42,-42,-41,-41,-41,-41,-40,-42,-41,-43,-42,-42,-41,-41,-42,-41.6,-40,-43,1.1
-42,-43,-41,-41,-43,-42,-42,-41,-41,-41,-41,-40,-42,-41,-43,-42,-42,-41,-41,-42,-41.6,-40,-43,1.11
-42,-43,-41,-41,-43,-42,-42,-41,-41,-41,-41,-40,-42,-41,-43,-42,-42,-41,-41,-42,-41.6,-40,-43,1.12
-42,-43,-41,-41,-43,-42,-42,-42,-41,-41,-41,-40,-42,-41,-43,-42,-42,-41,-42,-42,-41.7,-40,-43,1.13
-42,-44,-41,-41,-43,-42,-42,-42,-41,-41,-41,-40,-42,-41,-43,-42,-42,-41,-42,-42,-41.75,-40,-44,1.14
-42,-44,-41,-41,-43,-43,-42,-42,-41,-41,-41,-40,-42,-41,-43,-42,-42,-41,-42,-42,-41.8,-40,-44,1.15
-43,-44,-41,-42,-43,-43,-42,-42,-41,-41,-42,-41,-42,-41,-43,-42,-43,-42,-42,-42,-42.1,-41,-44,1.16
-43,-44,-42,-42,-43,-43,-42,-42,-41,-41,-42,-41,-42,-41,-44,-42,-43,-42,-42,-43,-42.25,-41,-44,1.17
-43,-45,-42,-42,-44,-43,-42,-42,-41,-42,-42,-41,-42,-41,-44,-42,-43,-42,-42,-43,-42.4,-41,-45,1.18
-44,-45,-42,-43,-44,-43,-43,-42,-42,-42,-42,-41,-42,-41,-44,-42,-43,-42,-42,-43,-42.6,-41,-45,1.19
-44,-45,-42,-43,-44,-44,-43,-42,-42,-42,-42,-41,-43,-42,-44,-43,-43,-42,-42,-43,-42.8,-41,-45,1.2
-44,-45,-43,-43,-44,-44,-43,-43,-42,-42,-43,-41,-43,-42,-44,-43,-43,-43,-42,-43,-43.0,-41,-45,1.21
-45,-46,-43,-44,-45,-44,-44,-43,-42,-42,-43,-42,-43,-42,-44,-43,-43,-43,-43,-44,-43.4,-42,-46,1.22
-45,-46,-43,-44,-45,-45,-44,-43,-42,-43,-43,-42,-43,-42,-45,-43,-43,-43,-43,-44,-43.55,-42,-46,1.23
-46,-46,-44,-44,-45,-45,-44,-43,-42,-43,-44,-42,-43,-42,-45,-44,-44,-43,-43,-44,-43.8,-42,-46,1.24
-46,-47,-44,-45,-46,-45,-44,-43,-42,-43,-44,-42,-43,-43,-45,-44,-44,-44,-43,-44,-44.05,-42,-47,1.25
-46,-47,-44,-45,-46,-45,-45,-44,-42,-43,-44,-43,-44,-43,-45,-44,-44,-44,-44,-45,-44.35,-42,-47,1.26
-47,-47,-44,-45,-46,-46,-45,-44,-43,-44,-44,-43,-44,-43,-46,-44,-44,-44,-44,-45,-44.6,-43,-47,1.27
-47,-47,-45,-45,-47,-46,-45,-44,-43,-44,-45,-43,-44,-43,-46,-45,-44,-45,-44,-45,-44.85,-43,-47,1.28
-47,-48,-45,-45,-47,-46,-45,-44,-43,-44,-45,-43,-44,-44,-46,-45,-45,-45,-44,-45,-45.0,-43,-48,1.29
-47,-48,-45,-46,-47,-47,-46,-44,-43,-44,-45,-43,-44,-44,-46,-45,-45,-45,-45,-46,-45.25,-43,-48,1.3
-48,-48,-45,-46,-47,-47,-46,-45,-43,-44,-45,-44,-45,-44,-46,-46,-45,-45,-45,-46,-45.5,-43,-48,1.31
-48,-48,-46,-46,-47,-47,-46,-45,-43,-44,-46,-44,-45,-44,-46,-46,-45,-46,-45,-46,-45.65,-43,-48,1.32
-48,-48,-46,-46,-47,-47,-46,-45,-43,-45,-46,-44,-45,-44,-47,-46,-45,-46,-45,-46,-45.75,-43,-48,1.33
-48,-48,-46,-46,-48,-47,-46,-45,-43,-45,-46,-44,-45,-44,-47,-46,-45,-46,-45,-46,-45.8,-43,-48,1.34
-48,-48,-46,-46,-48,-47,-46,-45,-44,-45,-46,-44,-45,-44,-47,-46,-46,-46,-45,-46,-45.9,-44,-48,1.35
-48,-48,-46,-46,-48,-47,-46,-45,-44,-45,-46,-44,-45,-44,-47,-46,-46,-46,-45,-47,-45.95,-44,-48,1.36
-48,-48,-46,-46,-48,-47,-46,-45,-44,-45,-46,-44,-45,-44,-47,-46,-46,-46,-45,-47,-45.95,-44,-48,1.37
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-45,-44,-47,-46,-46,-46,-45,-47,-46.0,-44,-48,1.38
-48,-48,-46,-46,-48,-47,-46,-45,-44,-45,-46,-44,-45,-45,-47,-46,-46,-46,-45,-47,-46.0,-44,-48,1.39
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.4
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.41
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.42
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.43
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.44
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.45
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.46
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.47
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.48
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.49
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.5
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.51
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.52
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.53
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.1,-44,-48,1.54
-48,-48,-46,-46,-47,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.05,-44,-48,1.55
-48,-48,-46,-46,-47,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.05,-44,-48,1.56
-48,-48,-46,-46,-47,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.05,-44,-48,1.57
-48,-48,-46,-46,-47,-47,-46,-46,-44,-45,-46,-44,-46,-45,-47,-46,-46,-46,-45,-47,-46.05,-44,-48,1.58
